Customer_ID,Customer_Name,Customer_Gender,Customer_DOB,Customer_Phone,Customer_Rating,Customer_email
C_1066,Karan Tiwari,Male,6/25/1988,9876543502,4,Karan.Tiwari@email.com
C_1067,Neha Kapoor,Female,12/9/1995,9876543503,5,Neha.Kapoor@email.com
C_1068,Arvind Yadav,Male,9/18/1983,9876543504,2,Arvind.Yadav@email.com
C_1069,Pooja Reddy,Female,11/29/1992,9876543505,4,Pooja.Reddy@email.com
C_1070,Harish Mehta,Male,4/7/1980,9876543506,3,Harish.Mehta@email.com
C_1071,Sonal Saxena,Female,8/16/1997,9876543507,5,Sonal.Saxena@email.com
C_1072,Amit Trivedi,Male,10/22/1985,9876543508,4,Amit.Trivedi@email.com
C_1073,Shalini Nair,Female,3/12/1994,9876543509,3,Shalini.Nair@email.com
C_1074,Naveen Rathi,Male,12/4/1982,9876543510,5,Naveen.Rathi@email.com
C_1075,Anjali Das,Female,5/24/1991,9876543511,4,Anjali.Das@email.com
C_1076,Rajeev Malhotra,Male,7/9/1987,9876543512,2,Rajeev.Malhotra@email.com
C_1077,Kavita Joshi,Female,10/30/1996,9876543513,5,Kavita.Joshi@email.com
C_1078,Prakash Pillai,Male,1/15/1979,9876543514,3,Prakash.Pillai@email.com
C_1079,Sweta Ghosh,Female,6/28/1995,9876543515,4,Sweta.Ghosh@email.com
C_1080,Sandeep Choudhary,Male,8/3/1981,9876543516,2,Sandeep.Choudhary@email.com
C_1081,Reena Verma,Female,9/14/1993,9876543517,5,Reena.Verma@email.com
C_1082,Manish Kapoor,Male,11/20/1986,9876543518,3,Manish.Kapoor@email.com
C_1083,Divya Saxena,Female,2/17/1992,9876543519,4,Divya.Saxena@email.com
C_1084,Sachin Nair,Male,4/13/1989,9876543598,4,Sachin.Nair@email.com
C_1085,Megha Khanna,Female,7/29/1990,9876543599,5,Megha.Khanna@email.com
C_1086,Sandeep Mehta,Male,3/14/1983,9876543300,4,Sandeep.Mehta@email.com
C_1087,Anusha Reddy,Female,7/22/1991,9876543301,5,Anusha.Reddy@email.com
C_1088,Manoj Tiwari,Male,5/10/1986,9876543302,3,Manoj.Tiwari@email.com
C_1089,Sweta Sharma,Female,9/18/1994,9876543303,4,Sweta.Sharma@email.com
C_1090,Nitin Kapoor,Male,11/25/1980,9876543304,2,Nitin.Kapoor@email.com
C_1091,Priyanka Nair,Female,2/17/1993,9876543305,5,Priyanka.Nair@email.com
C_1092,Rajiv Verma,Male,8/12/1989,9876543306,4,Rajiv.Verma@email.com
C_1093,Neeta Malhotra,Female,10/30/1985,9876543307,3,Neeta.Malhotra@email.com
C_1094,Vikas Choudhary,Male,4/22/1979,9876543308,2,Vikas.Choudhary@email.com
C_1095,Simran Kaur,Female,6/15/1992,9876543309,4,Simran.Kaur@email.com
C_1096,Aarush Kumar,Female,12/29/1998,9876543310,2,Aarush.Kumar@email.com
C_1097,Adhya Sharma,Male,2/18/1984,9876543311,5,Adhya.Sharma@email.com
C_1098,Advik Patel,Female,8/23/1992,9876543312,4,Advik.Patel@email.com
C_1099,Akshat Singh,Male,5/11/1977,9876543313,3,Akshat.Singh@email.com
C_1100,Amaan Gupta,Female,10/28/1988,9876543314,2,Amaan.Gupta@email.com
C_1101,Anika Reddy,Male,1/15/1993,9876543315,4,Anika.Reddy@email.com
C_1102,Ansh Kapoor,Female,12/7/1982,9876543316,5,Ansh.Kapoor@email.com
C_1103,Arnav Verma,Male,11/12/1986,9876543317,3,Arnav.Verma@email.com
C_1104,Avyaan Joshi,Female,7/22/1994,9876543318,4,Avyaan.Joshi@email.com
C_1105,Dhruv Yadav,Male,3/19/1981,9876543319,5,Dhruv.Yadav@email.com
C_1106,Dia Rao,Female,5/9/1991,9876543320,3,Dia.Rao@email.com
C_1107,Aarav Patel,Male,7/14/1983,9876543321,4,Aarav.Patel@email.com
C_1108,Aditi Kapoor,Female,9/29/1995,9876543322,2,Aditi.Kapoor@email.com
C_1109,Aditya Verma,Male,10/5/1982,9876543323,5,Aditya.Verma@email.com
C_1110,Akshara Joshi,Female,12/15/1996,9876543324,3,Akshara.Joshi@email.com
C_1111,Aman Yadav,Male,4/13/1991,9876543325,4,Aman.Yadav@email.com
C_1112,Ananya Chauhan,Female,7/29/1986,9876543326,5,Ananya.Chauhan@email.com
C_1113,Anika Malik,Male,7/15/1984,9876543327,2,Anika.Malik@email.com
C_1114,Arjun Kumar,Female,2/11/1990,9876543328,4,Arjun.Kumar@email.com
C_1115,Arya Sharma,Male,6/25/1988,9876543329,3,Arya.Sharma@email.com
C_1116,Atharv Reddy,Female,12/9/1995,9876543330,5,Atharv.Reddy@email.com
C_1117,Avyaan Singh,Male,9/18/1983,9876543331,4,Avyaan.Singh@email.com
C_1118,Dhruv Gupta,Female,12/29/1998,9876543332,3,Dhruv.Gupta@email.com
C_1119,Diya Banerjee,Male,2/18/1984,9876543333,4,Diya.Banerjee@email.com
C_1120,Eesha Mukherjee,Female,8/23/1992,9876543334,2,Eesha.Mukherjee@email.com
C_1121,Ishaan Trivedi,Male,5/11/1977,9876543335,5,Ishaan.Trivedi@email.com
C_1122,Kavya Patel,Female,10/28/1988,9876543336,4,Kavya.Patel@email.com
C_1123,Krish Iyer,Male,1/15/1993,9876543337,5,Krish.Iyer@email.com
C_1124,Lakshmi Desai,Female,12/7/1982,9876543338,4,Lakshmi.Desai@email.com
C_1125,Meera Khanna,Male,11/12/1986,9876543339,5,Meera.Khanna@email.com
C_1126,Neil Kapoor,Female,7/22/1994,9876543340,3,Neil.Kapoor@email.com
C_1127,Om Verma,Male,3/19/1981,9876543341,4,Om.Verma@email.com
C_1128,Pari Joshi,Female,5/9/1991,9876543342,2,Pari.Joshi@email.com
C_1129,Parth Yadav,Male,7/14/1983,9876543343,4,Parth.Yadav@email.com
C_1130,Pranav Chauhan,Female,9/29/1995,9876543344,2,Pranav.Chauhan@email.com
C_1131,Riya Malik,Male,10/5/1982,9876543345,5,Riya.Malik@email.com
C_1132,Rohan Kumar,Female,12/15/1996,9876543346,4,Rohan.Kumar@email.com
C_1133,Sanya Sharma,Male,4/13/1991,9876543347,3,Sanya.Sharma@email.com
C_1134,Shreya Reddy,Female,7/29/1986,9876543348,2,Shreya.Reddy@email.com
C_1135,Simran Singh,Male,7/15/1984,9876543349,4,Simran.Singh@email.com
C_1136,Tanvi Gupta,Female,2/11/1990,9876543350,5,Tanvi.Gupta@email.com
C_1137,Veer Banerjee,Male,6/25/1988,9876543351,3,Veer.Banerjee@email.com
C_1138,Vihaan Mukherjee,Female,12/9/1995,9876543352,4,Vihaan.Mukherjee@email.com
C_1139,Aarav Trivedi,Male,9/18/1983,9876543353,5,Aarav.Trivedi@email.com
C_1140,Aditi Patel,Female,7/22/1994,9876543354,3,Aditi.Patel@email.com
C_1141,Aditya Iyer,Male,3/19/1981,9876543355,4,Aditya.Iyer@email.com
C_1142,Akshara Desai,Female,5/9/1991,9876543356,2,Akshara.Desai@email.com
C_1143,Aman Khanna,Male,7/14/1983,9876543357,5,Aman.Khanna@email.com
C_1144,Ananya Kapoor,Female,9/29/1995,9876543358,3,Ananya.Kapoor@email.com
